group,image_path,image_name,exec_success,error_msg,plate_detected,detection_confidence,bbox,iou_gt,crop_width,crop_height,aspect_ratio,selected_variant,composite_score,raw_ocr_text,cleaned_text,plate_text,ocr_confidence,plate_type,is_valid_indian_format,error_category,processing_time_ms
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/07e787a7-6cc3-482c-9ce5-f0ce115b47f1___new_VW-Polo-GT-TSI-badges-on-the-boot-lid.jpg.jpg,07e787a7-6cc3-482c-9ce5-f0ce115b47f1___new_VW-Polo-GT-TSI-badges-on-the-boot-lid.jpg.jpg,True,,True,0.88,"[28, 26, 343, 111]",0.8976,315,85,3.71,V0_COLOR_CLAHE,0.7802,MH14dT8831,MH14DT8831,MH14DT8831,0.451,INDIAN,True,14. General low confidence / Unknown ambiguity,895.76
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/1e7151e6-8626-4fb2-b7e8-0fb6a8fde713___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_a19be5870f8f2593c994c465a691477e_555X416_1.jpg,1e7151e6-8626-4fb2-b7e8-0fb6a8fde713___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_a19be5870f8f2593c994c465a691477e_555X416_1.jpg,True,,True,0.847,"[232, 224, 322, 257]",1.7234,90,33,2.73,V1_GRAY_CLAHE,0.6376,RU27 TC 05J0,RU27TC05J0,RU27TC05J0,0.342,UNKNOWN,False,3. Extremely small plate resolution,853.53
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/26cfb3dd-3731-4fd0-a6c2-c44e3ce7498a___used_cars_in_keralaused_bikes_in_keralaautomotive_news7.jpg.jpg,26cfb3dd-3731-4fd0-a6c2-c44e3ce7498a___used_cars_in_keralaused_bikes_in_keralaautomotive_news7.jpg.jpg,True,,True,0.841,"[166, 275, 324, 325]",0.1795,158,50,3.16,V2_ADAPTIVE_BINARIZE,0.6469,Klizd' 7381,KLIZD7381,KL1ZD7381,0.186,INDIAN,True,4. Blur / Low contrast / Noise,850.39
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/28fc10e3-681b-4086-9c15-28934ae86f7e___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-amt_827x510_71478504527.jpg,28fc10e3-681b-4086-9c15-28934ae86f7e___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-amt_827x510_71478504527.jpg,True,,True,0.752,"[117, 281, 183, 320]",0.1022,66,39,1.69,V0_COLOR_CLAHE,0.7975,DLLCICOi53,DLLCICOI53,DLLCICOI53,0.494,UNKNOWN,False,3. Extremely small plate resolution,517.86
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/41209caa-2aa2-4003-b057-e0508c1d5ac9___Volkswagen-Ameo-Exterior-68165.jpg.jpg,41209caa-2aa2-4003-b057-e0508c1d5ac9___Volkswagen-Ameo-Exterior-68165.jpg.jpg,True,,True,0.804,"[200, 201, 272, 224]",0.7664,72,23,3.13,V0_COLOR_CLAHE,0.7015,Mh:14-TCD-204,MH14TCD204,MH14TC0204,0.34,INDIAN,True,3. Extremely small plate resolution,792.83
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/5345a45f-8d1b-4984-b5ee-a69fc4cbda6a___new__bd7f7862-d727-11e7-ad30-e18a56154311.jpg.jpg,5345a45f-8d1b-4984-b5ee-a69fc4cbda6a___new__bd7f7862-d727-11e7-ad30-e18a56154311.jpg.jpg,True,,True,0.846,"[361, 171, 433, 196]",0.0,72,25,2.88,V0_COLOR_CLAHE,0.6744,MHIS TC354,MHISTC354,MH1STC354,0.223,INDIAN,False,3. Extremely small plate resolution,777.87
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/6767eddd-bf2f-4270-aa1f-6146738895ab___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-20300.jpg,6767eddd-bf2f-4270-aa1f-6146738895ab___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-20300.jpg,True,,True,0.779,"[351, 213, 423, 246]",0.0,72,33,2.18,V1_GRAY_CLAHE,0.6786,RJ27TC 0530,RJ27TC0530,RJ27TC0530,0.231,INDIAN,True,3. Extremely small plate resolution,766.84
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/AP16.jpg,AP16.jpg,True,,True,0.831,"[104, 126, 154, 137]",0.1786,50,11,4.55,V0_COLOR_CLAHE,0.6499,Ap39683,AP39683,AP39683,0.187,INDIAN,True,3. Extremely small plate resolution,1137.43
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/AP27.jpg,AP27.jpg,True,,True,0.856,"[97, 194, 176, 218]",0.0848,79,24,3.29,V2_ADAPTIVE_BINARIZE,0.5233,"""APJTEF 1155",APJTEF1155,APJTEF1155,0.113,UNKNOWN,False,3. Extremely small plate resolution,922.88
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/AR1.jpg,AR1.jpg,True,,True,0.862,"[99, 110, 154, 121]",0.312,55,11,5.0,V2_ADAPTIVE_BINARIZE,0.6641,#ar04 8295,AR048295,AR048295,0.235,INDIAN,True,3. Extremely small plate resolution,1256.44
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/AR4.jpg,AR4.jpg,True,,True,0.844,"[94, 268, 191, 290]",0.0536,97,22,4.41,V1_GRAY_CLAHE,0.7387,HR01C5723,HR01C5723,HR01C5723,0.347,INDIAN,True,3. Extremely small plate resolution,1166.16
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/AS18.jpg,AS18.jpg,True,,True,0.836,"[96, 216, 148, 235]",0.0514,52,19,2.74,V2_ADAPTIVE_BINARIZE,0.6226,ASDLF4549-,ASDLF4549,ASDLF4549,0.094,UNKNOWN,False,3. Extremely small plate resolution,833.23
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/AS2.jpg,AS2.jpg,True,,True,0.873,"[100, 246, 189, 270]",0.0592,89,24,3.71,V0_COLOR_CLAHE,0.6529,As07ac6e53,AS07AC6E53,AS07AC6353,0.132,INDIAN,True,3. Extremely small plate resolution,931.04
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/AS22.jpg,AS22.jpg,True,,True,0.858,"[101, 279, 167, 299]",0.0469,66,20,3.3,V1_GRAY_CLAHE,0.6866,S01A8668,S01A8668,S01A8668,0.373,UNKNOWN,False,3. Extremely small plate resolution,863.25
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/AS25.jpg,AS25.jpg,True,,True,0.885,"[96, 144, 166, 161]",0.1504,70,17,4.12,V1_GRAY_CLAHE,0.7053,AS0 IBS 4362,AS0IBS4362,AS01BS4362,0.326,INDIAN,True,3. Extremely small plate resolution,955.91
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/CG14.jpg,CG14.jpg,True,,True,0.801,"[90, 133, 137, 146]",0.0879,47,13,3.62,V0_COLOR_CLAHE,0.6077,Cgo9 2SS,CGO92SS,CG09255,0.129,INDIAN,True,3. Extremely small plate resolution,970.5
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/CG17.jpg,CG17.jpg,True,,True,0.84,"[103, 121, 155, 136]",0.2308,52,15,3.47,V2_ADAPTIVE_BINARIZE,0.6207,(607.042529,607042529,607042529,0.314,UNKNOWN,False,3. Extremely small plate resolution,878.07
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/CG19.jpg,CG19.jpg,True,,True,0.81,"[106, 205, 169, 220]",0.0652,63,15,4.2,V1_GRAY_CLAHE,0.6812,Cgo74a7878,CGO74A7878,CG07AA7878,0.203,INDIAN,True,3. Extremely small plate resolution,1130.92
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/CH9.jpg,CH9.jpg,True,,True,0.852,"[107, 103, 162, 119]",1.4096,55,16,3.44,V0_COLOR_CLAHE,0.582,Cho)TF 4282,CHOTF4282,CH0TF4282,0.023,INDIAN,True,3. Extremely small plate resolution,1007.78
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/DL24.jpg,DL24.jpg,True,,True,0.838,"[92, 234, 178, 255]",0.052,86,21,4.1,V2_ADAPTIVE_BINARIZE,0.5527,JL3ccK8019,JL3CCK8019,JL3CCK8019,0.105,UNKNOWN,False,3. Extremely small plate resolution,1149.92
