group,image_path,image_name,exec_success,error_msg,plate_detected,detection_confidence,bbox,iou_gt,crop_width,crop_height,aspect_ratio,selected_variant,composite_score,raw_ocr_text,cleaned_text,plate_text,ocr_confidence,plate_type,is_valid_indian_format,error_category,processing_time_ms
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/07e787a7-6cc3-482c-9ce5-f0ce115b47f1___new_VW-Polo-GT-TSI-badges-on-the-boot-lid.jpg.jpg,07e787a7-6cc3-482c-9ce5-f0ce115b47f1___new_VW-Polo-GT-TSI-badges-on-the-boot-lid.jpg.jpg,True,,True,0.88,"[28, 26, 343, 111]",0.8976,315,85,3.71,V0_COLOR_CLAHE,0.7802,MH14dT8831,MH14DT8831,MH14DT8831,0.451,INDIAN,True,14. General low confidence / Unknown ambiguity,895.76
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/1e7151e6-8626-4fb2-b7e8-0fb6a8fde713___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_a19be5870f8f2593c994c465a691477e_555X416_1.jpg,1e7151e6-8626-4fb2-b7e8-0fb6a8fde713___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_a19be5870f8f2593c994c465a691477e_555X416_1.jpg,True,,True,0.847,"[232, 224, 322, 257]",1.7234,90,33,2.73,V1_GRAY_CLAHE,0.6376,RU27 TC 05J0,RU27TC05J0,RU27TC05J0,0.342,UNKNOWN,False,3. Extremely small plate resolution,853.53
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/26cfb3dd-3731-4fd0-a6c2-c44e3ce7498a___used_cars_in_keralaused_bikes_in_keralaautomotive_news7.jpg.jpg,26cfb3dd-3731-4fd0-a6c2-c44e3ce7498a___used_cars_in_keralaused_bikes_in_keralaautomotive_news7.jpg.jpg,True,,True,0.841,"[166, 275, 324, 325]",0.1795,158,50,3.16,V2_ADAPTIVE_BINARIZE,0.6469,Klizd' 7381,KLIZD7381,KL1ZD7381,0.186,INDIAN,True,4. Blur / Low contrast / Noise,850.39
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/28fc10e3-681b-4086-9c15-28934ae86f7e___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-amt_827x510_71478504527.jpg,28fc10e3-681b-4086-9c15-28934ae86f7e___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-amt_827x510_71478504527.jpg,True,,True,0.752,"[117, 281, 183, 320]",0.1022,66,39,1.69,V0_COLOR_CLAHE,0.7975,DLLCICOi53,DLLCICOI53,DLLCICOI53,0.494,UNKNOWN,False,3. Extremely small plate resolution,517.86
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/346a6946-ae0a-4b3f-b094-d971124b2064___banner_3.jpg,346a6946-ae0a-4b3f-b094-d971124b2064___banner_3.jpg,True,,True,0.837,"[324, 186, 576, 234]",0.0,252,48,5.25,V2_ADAPTIVE_BINARIZE,0.9287,DLGCAB 123X,DLGCAB123X,DLGCAB123X,0.894,UNKNOWN,False,NONE,1352.94
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/3515f71d-cdd6-4050-ae68-7b7afd4c0a11___8.jpg,3515f71d-cdd6-4050-ae68-7b7afd4c0a11___8.jpg,True,,True,0.644,"[70, 162, 336, 245]",0.3034,266,83,3.2,V2_ADAPTIVE_BINARIZE,0.8581,KL 06 27 5834,KL06275834,KL06ZT5834,0.732,INDIAN,True,NONE,950.53
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/377b225b-e978-4e7c-8e5e-f10d8effc336___Maruti-Suzuki-Ignis-Rear-view-94486.jpg.jpg,377b225b-e978-4e7c-8e5e-f10d8effc336___Maruti-Suzuki-Ignis-Rear-view-94486.jpg.jpg,True,,True,0.883,"[154, 228, 314, 277]",0.2341,160,49,3.27,V1_GRAY_CLAHE,0.9116,HR 26 DA 0471,HR26DA0471,HR26DA0471,0.866,INDIAN,True,NONE,868.89
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/41209caa-2aa2-4003-b057-e0508c1d5ac9___Volkswagen-Ameo-Exterior-68165.jpg.jpg,41209caa-2aa2-4003-b057-e0508c1d5ac9___Volkswagen-Ameo-Exterior-68165.jpg.jpg,True,,True,0.804,"[200, 201, 272, 224]",0.7664,72,23,3.13,V0_COLOR_CLAHE,0.7015,Mh:14-TCD-204,MH14TCD204,MH14TC0204,0.34,INDIAN,True,3. Extremely small plate resolution,792.83
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/422aaf6f-dd4a-450f-ac6b-65966ab512d0___1431956d1446017445-number-plates-merchandise-canvas-ink-gurgaon-edit-closed-thumb_img_4418_1024.jpg.jpg,422aaf6f-dd4a-450f-ac6b-65966ab512d0___1431956d1446017445-number-plates-merchandise-canvas-ink-gurgaon-edit-closed-thumb_img_4418_1024.jpg.jpg,True,,True,0.877,"[297, 412, 557, 494]",0.2207,260,82,3.17,V0_COLOR_CLAHE,0.9126,MHO3BS7778,MHO3BS7778,MH03BS7778,0.782,INDIAN,True,NONE,584.68
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/5345a45f-8d1b-4984-b5ee-a69fc4cbda6a___new__bd7f7862-d727-11e7-ad30-e18a56154311.jpg.jpg,5345a45f-8d1b-4984-b5ee-a69fc4cbda6a___new__bd7f7862-d727-11e7-ad30-e18a56154311.jpg.jpg,True,,True,0.846,"[361, 171, 433, 196]",0.0,72,25,2.88,V0_COLOR_CLAHE,0.6744,MHIS TC354,MHISTC354,MH1STC354,0.223,INDIAN,False,3. Extremely small plate resolution,777.87
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/57e92915-935a-4a91-91f8-f3ad70040a6e___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_847071203_1_1080x720_nissan-terrano-xv-d-thp-premium-110-ps-2015-diesel-ghaziabad.jpg,57e92915-935a-4a91-91f8-f3ad70040a6e___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_847071203_1_1080x720_nissan-terrano-xv-d-thp-premium-110-ps-2015-diesel-ghaziabad.jpg,True,,True,0.812,"[176, 578, 346, 627]",0.0378,170,49,3.47,V1_GRAY_CLAHE,0.9084,UP 16 CT2233,UP16CT2233,UP16CT2233,0.833,INDIAN,True,NONE,883.74
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/5cbd7465-ad12-4e6b-8eaf-d7056c3852f8___New-2018-Maruti-Suzuki-Swift-radiator-grille-600x398.jpg.jpg,5cbd7465-ad12-4e6b-8eaf-d7056c3852f8___New-2018-Maruti-Suzuki-Swift-radiator-grille-600x398.jpg.jpg,True,,True,0.878,"[340, 240, 491, 290]",0.0,151,50,3.02,V1_GRAY_CLAHE,0.7589,Ind HR2GDKO830,HR2GDKO830,HR26DK0830,0.546,INDIAN,True,NONE,828.75
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/6767eddd-bf2f-4270-aa1f-6146738895ab___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-20300.jpg,6767eddd-bf2f-4270-aa1f-6146738895ab___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-20300.jpg,True,,True,0.779,"[351, 213, 423, 246]",0.0,72,33,2.18,V1_GRAY_CLAHE,0.6786,RJ27TC 0530,RJ27TC0530,RJ27TC0530,0.231,INDIAN,True,3. Extremely small plate resolution,766.84
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/7c6227ed-9e92-4062-9591-b172cb32ec10___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Honda-Jazz-Front-Number-Plates-Designs.jpg,7c6227ed-9e92-4062-9591-b172cb32ec10___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Honda-Jazz-Front-Number-Plates-Designs.jpg,True,,True,0.711,"[54, 71, 593, 189]",0.6811,539,118,4.57,V0_COLOR_CLAHE,0.867,TN 4 R 2697,TN4R2697,TN4R2697,0.77,INDIAN,True,NONE,781.64
Indian Unseen Test,e:/CDAC Dataset/CDAC_Workspace/indian_no_plates_B/images/train/8906af57-0d29-417d-ac46-408425527b57___VW-Vento-TDI-CNG-Spy-Pic-2.jpg.jpg,8906af57-0d29-417d-ac46-408425527b57___VW-Vento-TDI-CNG-Spy-Pic-2.jpg.jpg,True,,True,0.83,"[239, 232, 378, 304]",0.8597,139,72,1.93,V1_GRAY_CLAHE,0.9417,MH 14 TCF 300,MH14TCF300,MH14TCF300,0.941,INDIAN,False,NONE,427.67
