epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2253.36,1.27553,1.46426,1.16958,0.93034,0.89533,0.93573,0.57405,1.29849,1.07556,1.16141,0.000665284,0.000665284,0.000665284
2,4499,1.27108,0.87417,1.17148,0.9373,0.88529,0.9448,0.55037,1.38942,0.81593,1.1763,0.00130558,0.00130558,0.00130558
3,6600.19,1.28545,0.80355,1.17591,0.91677,0.84358,0.90631,0.55787,1.31164,0.91977,1.16044,0.00191947,0.00191947,0.00191947
4,8708.44,1.24664,0.77302,1.16657,0.91778,0.91049,0.94187,0.58757,1.27898,0.7262,1.13436,0.0018812,0.0018812,0.0018812
5,10802.8,1.22546,0.71448,1.15138,0.95248,0.91828,0.9541,0.64387,1.17172,0.62389,1.11143,0.0018416,0.0018416,0.0018416
6,12831,1.20198,0.68501,1.13545,0.97308,0.9162,0.95216,0.62547,1.22684,0.61637,1.10321,0.001802,0.001802,0.001802
7,14877.2,1.17723,0.65478,1.12252,0.96886,0.93851,0.96872,0.65691,1.1345,0.57848,1.07936,0.0017624,0.0017624,0.0017624
8,17420.3,1.17608,0.633,1.12685,0.97066,0.92419,0.96575,0.60278,1.27454,0.59844,1.12083,0.0017228,0.0017228,0.0017228
9,19531.2,1.1552,0.61413,1.11237,0.96887,0.94078,0.96819,0.63008,1.22292,0.56699,1.10188,0.0016832,0.0016832,0.0016832
10,21633.3,1.15129,0.60922,1.11235,0.95624,0.94637,0.97157,0.66256,1.11542,0.55988,1.05693,0.0016436,0.0016436,0.0016436
11,23834.1,1.14031,0.59917,1.10265,0.95792,0.93073,0.96067,0.64056,1.18685,0.56609,1.07369,0.001604,0.001604,0.001604
12,26015.2,1.12323,0.57978,1.09436,0.97462,0.9486,0.96998,0.67374,1.10224,0.49482,1.0535,0.0015644,0.0015644,0.0015644
13,28155.3,1.11426,0.56921,1.08653,0.97229,0.94413,0.97551,0.67811,1.10376,0.50633,1.04614,0.0015248,0.0015248,0.0015248
14,30333.1,1.10692,0.55612,1.08624,0.96724,0.95658,0.97634,0.65618,1.15951,0.50645,1.06718,0.0014852,0.0014852,0.0014852
15,32526.5,1.10604,0.55477,1.08843,0.96836,0.94413,0.97438,0.66073,1.13865,0.5025,1.05927,0.0014456,0.0014456,0.0014456
16,34618.6,1.10291,0.54709,1.08173,0.95607,0.95754,0.97289,0.66383,1.11653,0.49284,1.04856,0.001406,0.001406,0.001406
17,36679.9,1.08891,0.53568,1.07917,0.97669,0.93632,0.97519,0.66787,1.12706,0.48429,1.0559,0.0013664,0.0013664,0.0013664
18,38749.8,1.08576,0.5333,1.07132,0.97559,0.93777,0.97665,0.67159,1.11199,0.4765,1.04537,0.0013268,0.0013268,0.0013268
19,40821.5,1.08012,0.5262,1.07351,0.96499,0.95467,0.97333,0.68303,1.0724,0.46969,1.03954,0.0012872,0.0012872,0.0012872
20,42900,1.07262,0.51805,1.07084,0.96548,0.95642,0.97405,0.68688,1.06518,0.46693,1.02842,0.0012476,0.0012476,0.0012476
21,44989.8,1.07383,0.51423,1.06711,0.96354,0.96201,0.97829,0.66901,1.12215,0.47707,1.04212,0.001208,0.001208,0.001208
22,47137.6,1.06023,0.50377,1.06829,0.97066,0.961,0.97976,0.70599,1.02741,0.44851,1.01948,0.0011684,0.0011684,0.0011684
23,49287.2,1.05735,0.49681,1.06188,0.96523,0.96162,0.97515,0.69757,1.02243,0.45729,1.01452,0.0011288,0.0011288,0.0011288
24,51486.4,1.05578,0.49506,1.05924,0.95892,0.96501,0.97743,0.69949,1.03409,0.43688,1.01787,0.0010892,0.0010892,0.0010892
25,53760.6,1.04719,0.49132,1.05203,0.96929,0.96313,0.97896,0.69584,1.05149,0.44467,1.02797,0.0010496,0.0010496,0.0010496
26,56050.2,1.04362,0.48789,1.05558,0.9675,0.96454,0.97737,0.697,1.04133,0.43377,1.01399,0.00101,0.00101,0.00101
27,58119.6,1.03581,0.4764,1.04854,0.97154,0.95367,0.97738,0.70373,1.02982,0.43187,1.01385,0.0009704,0.0009704,0.0009704
28,60166.1,1.02599,0.47682,1.04485,0.9833,0.94749,0.98083,0.70914,1.00338,0.41868,1.01227,0.0009308,0.0009308,0.0009308
