frame_id,vehicle_id,class,x1,y1,x2,y2,confidence
1,1,truck,255.53,114.67,315.1,171.63,0.839
1,2,car,254.15,199.2,283.58,222.9,0.8279
1,3,car,249.91,157.77,274.94,175.82,0.7541
1,4,car,238.98,104.51,252.86,115.08,0.7406
1,5,car,150.91,168.47,175.36,189.62,0.7243
1,6,car,229.18,131.48,248.07,146.41,0.6672
1,7,car,192.99,114.75,210.85,129.71,0.6103
1,8,car,216.69,108.17,230.65,119.79,0.5785
1,9,car,189.72,161.83,219.93,189.4,0.521
1,10,car,170.0,91.53,182.28,102.55,0.4882
1,11,car,234.84,94.63,248.04,104.88,0.4605
1,12,truck,189.63,161.87,220.27,189.22,0.4339
1,13,car,168.36,69.86,177.86,76.84,0.3201
1,14,truck,224.7,69.43,243.86,96.67,0.3191
1,15,bus,207.37,70.6,226.74,99.19,0.2988
1,16,car,154.95,84.46,166.29,94.15,0.2922
1,17,car,167.91,114.31,183.99,128.74,0.2888
1,18,car,143.63,125.25,161.01,137.31,0.2725
1,19,car,154.82,78.71,173.81,94.06,0.2124
1,20,truck,187.38,75.45,204.87,103.4,0.2068
1,21,car,173.31,80.89,186.33,91.94,0.2007
1,22,car,276.7,57.85,283.44,63.43,0.1624
1,23,car,299.56,70.8,311.75,77.42,0.1433
1,24,car,12.65,97.75,24.43,106.02,0.1422
1,25,bus,206.6,52.3,220.48,69.94,0.1359
1,26,car,235.49,61.53,246.0,70.43,0.1144
1,27,car,11.91,109.94,22.91,117.88,0.1117
1,28,bus,187.81,75.37,204.96,102.23,0.1114
2,1,truck,254.8,114.26,313.83,170.72,0.8274
2,2,car,251.98,196.43,281.64,220.33,0.853
2,3,car,248.34,156.07,274.29,174.8,0.6648
2,4,car,238.95,104.51,252.87,115.12,0.7581
2,5,car,150.7,166.72,174.52,187.32,0.7548
2,6,car,228.8,130.69,247.53,145.5,0.6116
2,7,car,193.38,114.84,210.21,128.93,0.5143
2,8,car,216.72,108.24,230.65,119.84,0.6338
2,9,car,189.25,160.45,218.31,186.94,0.5129
2,10,car,170.0,91.52,182.3,102.54,0.506
2,11,car,234.96,94.77,247.84,104.77,0.4811
2,13,car,168.08,69.32,178.22,76.79,0.3957
2,14,truck,224.82,69.74,243.55,96.36,0.4106
2,15,bus,207.28,70.3,226.82,99.15,0.3401
2,16,car,154.99,84.46,166.32,94.13,0.3339
2,18,car,143.01,123.83,161.55,136.71,0.4402
2,19,car,155.06,79.2,173.45,94.05,0.2162
2,20,truck,187.32,75.43,204.67,103.14,0.2714
2,21,car,173.32,80.88,186.38,91.96,0.2411
2,25,bus,206.73,52.17,220.68,69.86,0.3
3,1,truck,254.05,113.33,312.97,169.7,0.7728
3,2,car,249.57,193.8,279.52,217.95,0.8069
3,3,car,247.64,155.23,272.27,173.0,0.7489
3,4,car,238.55,103.91,252.3,114.4,0.7201
3,5,car,150.56,164.5,174.52,185.25,0.7558
3,6,car,227.81,129.47,246.74,144.44,0.6897
3,7,car,192.39,113.08,209.78,127.6,0.6159
3,8,car,216.49,107.43,229.8,118.49,0.6482
3,9,car,188.27,158.59,216.83,184.6,0.6352
