vehicle_id,class,class_agreement,n_frames,first_frame,last_frame,duration_sec,mean_confidence,max_confidence
1,truck,0.843,51,1,52,5.1,0.5586,0.839
2,car,1.0,44,1,45,4.4,0.6722,0.853
3,car,1.0,43,1,46,4.3,0.5854,0.8189
4,car,1.0,32,1,32,3.2,0.6048,0.7581
5,car,1.0,50,1,52,5.0,0.581,0.8069
6,car,1.0,42,1,44,4.2,0.5424,0.7363
7,car,0.639,36,1,39,3.6,0.3692,0.6159
8,car,1.0,33,1,44,3.3,0.4904,0.7347
9,car,0.84,25,1,25,2.5,0.4724,0.6352
10,car,1.0,31,1,31,3.1,0.401,0.6839
11,car,1.0,23,1,31,2.3,0.3997,0.5197
12,truck,1.0,1,1,1,0.1,0.4339,0.4339
13,car,1.0,5,1,5,0.5,0.3411,0.445
14,truck,0.75,20,1,27,2.0,0.3378,0.451
15,truck,0.778,9,1,19,0.9,0.3034,0.4315
16,car,1.0,23,1,41,2.3,0.385,0.6018
17,car,1.0,1,1,1,0.1,0.2888,0.2888
18,car,1.0,4,1,4,0.4,0.4396,0.6064
19,car,1.0,2,1,2,0.2,0.2143,0.2162
20,truck,1.0,21,1,48,2.1,0.3586,0.5224
21,car,1.0,5,1,7,0.5,0.2881,0.4073
22,car,1.0,2,1,3,0.2,0.1947,0.227
23,car,1.0,1,1,1,0.1,0.1433,0.1433
24,car,1.0,1,1,1,0.1,0.1422,0.1422
25,truck,0.727,11,1,19,1.1,0.312,0.4792
26,car,1.0,1,1,1,0.1,0.1144,0.1144
27,car,1.0,1,1,1,0.1,0.1117,0.1117
28,bus,1.0,1,1,1,0.1,0.1114,0.1114
50,car,0.815,27,5,52,2.7,0.596,0.7625
72,car,1.0,46,7,52,4.6,0.7441,0.8363
74,car,1.0,30,7,40,3.0,0.5105,0.7893
88,car,0.667,3,8,10,0.3,0.4958,0.5706
99,truck,0.707,41,9,51,4.1,0.511,0.6711
136,car,0.5,20,12,31,2.0,0.5572,0.7436
138,car,1.0,41,12,52,4.1,0.7029,0.8325
252,truck,0.5,2,23,24,0.2,0.4094,0.4549
256,car,1.0,1,23,23,0.1,0.369,0.369
265,car,1.0,5,24,28,0.5,0.4207,0.5626
280,car,1.0,28,25,52,2.8,0.7582,0.8319
298,car,1.0,26,27,52,2.6,0.7644,0.8507
308,car,0.583,24,28,51,2.4,0.4976,0.6135
314,car,1.0,2,28,29,0.2,0.3767,0.4061
316,car,1.0,25,28,52,2.5,0.6903,0.8177
389,car,1.0,1,35,35,0.1,0.4224,0.4224
415,car,1.0,12,37,48,1.2,0.4903,0.7313
469,car,0.917,12,41,52,1.2,0.6468,0.8331
502,truck,0.5,2,43,45,0.2,0.4007,0.433
517,bus,1.0,2,44,46,0.2,0.373,0.3776
527,bus,1.0,8,45,52,0.8,0.4857,0.6543
528,car,0.875,8,45,52,0.8,0.5139,0.6122
543,car,1.0,7,46,52,0.7,0.716,0.8087
544,car,1.0,7,46,52,0.7,0.6599,0.7116
561,car,1.0,6,47,52,0.6,0.7353,0.7843
614,car,1.0,1,51,51,0.1,0.4511,0.4511
