follower_id,leader_id,follower_class,leader_class,frames_tailgating,duration_sec,min_gap_lengths,min_gap_px,at_frame,at_sec
975,976,car,car,78,2.6,0.108,9.5,293,9.77
2166,2441,car,car,76,2.53,0.492,65.0,298,9.93
2072,1372,car,bike,71,2.37,0.08,10.2,392,13.07
1620,1361,car,car,59,1.97,0.363,13.8,206,6.87
9,15,car,bike,54,1.8,0.008,0.6,51,1.7
1361,975,car,car,49,1.63,0.792,30.5,181,6.03
2392,2589,bike,bike,48,1.6,0.749,29.9,364,12.13
2589,2715,bike,bike,42,1.4,0.873,46.7,375,12.5
1900,975,car,car,30,1.0,0.679,26.4,232,7.73
1790,18,car,car,28,0.93,0.14,7.7,347,11.57
20,8,bike,bike,27,0.9,0.679,98.3,24,0.8
2894,975,rickshaw,rickshaw,24,0.8,0.554,62.5,340,11.33
1900,1361,car,car,24,0.8,0.998,96.9,359,11.97
1154,861,car,bike,23,0.77,0.459,18.3,190,6.33
1900,2283,car,bike,22,0.73,0.084,5.7,317,10.57
740,350,car,bike,20,0.67,0.065,4.7,220,7.33
18,1790,car,car,20,0.67,0.228,12.4,337,11.23
589,532,rickshaw,bike,18,0.6,0.854,34.4,115,3.83
27,1790,bus,car,18,0.6,0.594,37.0,281,9.37
23,449,car,bike,15,0.5,0.91,42.7,61,2.03
3077,2428,bike,bike,15,0.5,1.108,42.1,408,13.6
