vehicle_id,class,max_speed_kmh,mean_speed_kmh,frames_over_limit,first_violation_frame,first_violation_sec,track_first_frame,track_last_frame
3,car,77.7,48.5,8,61,2.03,56,112
6,car,75.1,42.7,12,23,0.77,5,89
8,bike,74.2,44.1,11,19,0.63,5,42
10,car,77.6,50.1,18,54,1.8,54,129
11,bike,75.4,54.4,20,27,0.9,26,86
20,bike,95.7,57.7,15,26,0.87,26,54
22,bike,83.0,63.9,38,279,9.3,279,330
23,car,70.5,55.0,10,172,5.73,171,198
26,bike,66.7,32.9,4,19,0.63,5,27
32,car,79.7,57.6,24,227,7.57,224,270
350,bike,85.4,68.1,5,247,8.23,247,256
449,bike,73.5,57.5,7,127,4.23,126,149
861,bike,94.5,71.4,42,288,9.6,288,339
975,car,71.2,54.1,7,340,11.33,340,366
1154,car,86.0,64.7,47,356,11.87,356,412
1243,bus,92.1,41.9,12,207,6.9,185,272
1361,car,76.1,60.4,27,352,11.73,352,396
1597,bike,66.1,54.2,6,279,9.3,278,296
1900,car,71.0,60.9,13,388,12.93,386,412
2072,car,92.4,62.9,21,379,12.63,376,412
2138,bus,87.7,45.8,4,263,8.77,262,276
2166,car,93.8,38.6,6,297,9.9,280,358
