vehicle_id,class,max_speed_kmh,mean_speed_kmh,frames_over_limit,first_violation_frame,first_violation_sec,track_first_frame,track_last_frame
3,car,51.2,21.1,10,83,2.77,5,112
4,rickshaw,53.8,29.4,12,19,0.63,5,38
5,bike,71.1,28.1,17,46,1.53,5,70
8,bike,84.4,41.6,23,19,0.63,5,42
9,car,48.6,14.4,7,143,4.77,5,172
11,bike,63.9,26.6,21,59,1.97,5,86
12,bike,47.3,22.3,4,16,0.53,5,20
13,bike,69.5,16.8,22,157,5.23,5,180
15,bike,63.2,22.3,21,103,3.43,5,129
17,bike,53.3,25.7,6,52,1.73,5,67
20,bike,70.3,36.2,27,22,0.73,5,54
22,bike,66.2,9.5,23,307,10.23,5,330
23,car,57.1,15.7,12,172,5.73,5,198
24,bike,59.7,18.8,16,136,4.53,5,156
32,car,58.6,11.6,15,245,8.17,5,270
134,rickshaw,50.9,30.8,6,37,1.23,19,56
350,bike,91.4,15.7,24,231,7.7,53,256
449,bike,67.9,30.4,21,121,4.03,65,149
740,car,48.8,16.0,7,273,9.1,103,287
861,bike,56.1,9.5,9,331,11.03,119,339
975,car,63.5,14.6,20,337,11.23,132,366
1200,bike,47.5,15.6,7,352,11.73,160,362
1361,car,66.3,13.0,18,370,12.33,173,396
1597,bike,65.0,25.9,19,273,9.1,201,296
1900,car,60.3,14.3,14,397,13.23,233,412
2894,rickshaw,55.5,36.6,11,361,12.03,344,378
