frame_id,vehicle_id,class,x1,y1,x2,y2,confidence
0,1,bus,410.83,219.83,495.51,370.56,0.9059
0,2,bus,873.52,259.29,959.51,348.67,0.8592
0,3,car,580.07,394.78,694.86,509.26,0.8357
0,4,car,743.16,274.81,793.27,308.38,0.8276
0,5,car,524.32,276.16,569.75,321.7,0.8067
0,6,car,548.77,233.28,579.72,257.0,0.7809
0,7,car,601.07,291.4,663.29,342.83,0.7713
0,8,bus,765.84,221.18,922.35,309.23,0.7666
0,9,bus,700.31,216.46,746.1,261.55,0.712
0,10,car,92.77,351.98,201.26,423.97,0.7053
0,11,bus,499.54,214.17,538.01,257.29,0.5751
0,12,bus,648.22,193.46,710.22,238.83,0.5549
0,13,bus,449.32,199.32,500.34,258.32,0.4852
0,14,bike,88.74,332.46,121.34,368.3,0.4787
0,15,car,659.37,247.59,690.08,270.8,0.4081
0,16,car,623.01,229.96,650.69,250.96,0.2466
0,17,truck,0.98,399.07,299.4,536.87,0.2104
0,18,bike,184.21,259.06,215.33,286.34,0.1953
0,19,bus,926.13,232.0,959.74,272.54,0.1839
0,20,car,354.17,189.11,374.48,199.77,0.1817
0,21,car,616.62,197.48,636.84,211.72,0.1289
0,22,truck,925.47,232.63,959.59,270.91,0.1141
0,23,car,892.26,235.91,926.62,249.65,0.1115
0,24,car,604.62,212.55,630.61,231.86,0.103
1,1,bus,411.08,217.82,495.59,368.24,0.9093
1,2,bus,873.32,256.47,959.58,346.13,0.8116
1,3,car,581.74,396.71,698.43,513.1,0.8485
1,4,car,741.76,272.6,791.54,305.95,0.8314
1,5,car,524.83,274.73,571.63,321.64,0.8
1,6,car,549.38,232.01,580.86,256.13,0.7927
1,7,car,602.63,290.69,665.54,342.67,0.8308
1,8,bus,764.74,221.56,919.32,308.62,0.7565
1,9,bus,699.52,212.86,746.74,259.36,0.7976
1,10,car,92.41,354.65,194.06,422.03,0.7508
1,11,bus,500.84,214.35,538.21,256.17,0.6433
1,12,bus,650.51,193.13,709.39,236.15,0.548
1,13,bus,448.51,197.88,497.76,254.94,0.2766
1,14,bike,83.45,325.28,121.67,367.39,0.373
1,15,car,658.93,245.23,690.54,269.15,0.504
2,1,bus,411.34,216.73,495.83,367.19,0.9051
2,2,bus,873.2,254.94,959.88,345.06,0.5509
2,3,car,582.57,398.42,704.92,520.52,0.83
2,4,car,741.02,271.57,789.52,304.04,0.8283
2,5,car,525.03,274.21,572.67,321.98,0.8154
2,6,car,551.08,231.89,581.09,254.8,0.7721
2,7,car,604.59,291.15,668.19,343.68,0.8005
2,8,bus,765.37,221.22,919.0,307.84,0.4044
2,9,bus,699.35,210.46,747.54,257.91,0.7627
2,10,car,88.3,356.57,185.96,421.13,0.6689
2,11,bus,501.71,213.52,538.97,255.16,0.5546
2,12,bus,649.45,189.57,709.44,233.39,0.5181
2,13,bus,447.73,196.56,498.5,255.58,0.3544
2,14,bike,81.06,323.16,119.08,365.21,0.4263
2,15,car,658.79,243.07,690.03,266.75,0.5363
2,16,car,624.73,227.82,651.31,247.95,0.3518
3,1,bus,411.86,216.36,496.41,366.99,0.9062
3,2,bus,872.62,253.9,960.0,345.1,0.5197
3,3,car,585.16,402.36,710.39,527.41,0.863
3,4,car,740.14,270.96,787.55,302.64,0.8167
3,5,car,525.96,275.68,573.0,322.82,0.8252
3,6,car,552.0,231.66,582.63,254.97,0.8016
3,7,car,605.99,293.28,671.27,347.24,0.8364
3,8,bus,768.69,223.1,916.62,306.48,0.3409
3,9,bus,699.94,210.63,747.55,257.47,0.7349
3,10,car,87.06,360.53,179.77,421.56,0.7218
3,11,bus,501.86,212.91,540.04,255.59,0.6455
3,12,bus,648.63,188.34,709.41,232.77,0.4974
3,13,bus,448.27,196.51,498.16,254.7,0.3045
3,14,bike,77.51,323.76,116.88,367.57,0.509
3,15,car,658.63,242.58,690.26,266.66,0.592
3,16,car,625.07,227.6,651.37,247.5,0.3318
4,1,bus,412.3,216.11,496.95,366.95,0.9014
4,2,bus,872.95,253.38,960.0,344.36,0.8417
4,3,car,588.39,406.54,716.45,534.45,0.8285
4,4,car,738.63,269.51,786.28,301.34,0.8215
4,5,car,526.32,276.11,573.7,323.57,0.823
4,6,car,553.19,231.75,583.95,255.1,0.8057
4,7,car,608.03,295.27,674.64,350.35,0.8503
4,8,bus,771.17,223.1,919.05,306.34,0.6409
4,9,bus,699.64,209.56,747.95,257.11,0.7415
4,10,car,88.11,366.29,172.56,421.41,0.658
4,11,bus,502.5,213.27,540.62,255.83,0.5731
4,12,bus,648.98,187.72,709.86,232.2,0.6034
4,13,bus,449.44,196.42,499.26,254.6,0.314
4,14,bike,77.4,328.83,113.2,368.63,0.3475
4,15,car,659.1,242.01,689.84,265.51,0.5302
4,16,car,625.38,227.36,651.49,247.08,0.2962
5,1,bus,412.37,215.34,497.36,366.77,0.9048
5,2,bus,873.1,252.89,960.0,343.61,0.8521
5,3,car,592.24,409.38,721.13,538.01,0.8646
5,4,car,737.54,268.17,785.12,299.93,0.8192
5,5,car,526.98,276.68,574.42,324.17,0.8263
5,6,car,554.11,231.38,585.65,255.27,0.7751
5,7,car,609.6,296.27,678.45,353.3,0.8624
5,8,bus,773.99,223.72,919.23,305.2,0.6617
5,9,bus,700.0,208.82,747.85,255.95,0.7244
5,10,car,84.23,368.88,162.6,419.26,0.3919
5,11,bus,502.31,212.4,541.15,255.7,0.5637
5,12,bus,648.96,187.19,710.14,231.87,0.7047
5,13,bus,448.58,195.84,499.1,255.17,0.3598
5,14,bike,76.09,332.17,110.08,369.96,0.4543
5,15,car,659.5,241.54,689.35,264.5,0.478
6,1,bus,412.71,215.04,497.88,366.78,0.9058
6,2,bus,873.52,252.7,960.0,343.11,0.8744
6,3,car,597.66,412.65,725.06,539.09,0.8608
6,4,car,736.3,267.16,783.15,298.39,0.8257
6,5,car,527.19,277.39,575.33,325.58,0.832
6,6,car,554.73,231.27,587.11,255.77,0.7706
6,7,car,611.96,298.25,680.9,355.36,0.891
6,8,bus,772.53,221.88,920.15,304.56,0.7606
6,9,bus,700.05,208.44,747.4,255.03,0.7063
6,11,bus,502.14,210.47,542.86,255.92,0.6195
6,12,bus,648.21,186.75,709.79,231.74,0.7254
6,13,bus,448.64,195.55,499.81,255.92,0.3903
6,14,bike,74.94,334.91,106.46,369.73,0.5009
6,15,car,658.65,240.84,688.65,264.04,0.3993
7,1,bus,412.9,214.81,498.46,367.43,0.9079
7,2,bus,873.64,252.61,960.0,343.2,0.8729
7,3,car,604.02,418.6,727.53,539.94,0.872
7,4,car,734.42,266.18,781.63,297.64,0.8363
7,5,car,527.37,278.37,576.58,327.75,0.8409
7,6,car,555.27,232.08,588.36,257.13,0.7571
7,7,car,613.51,300.22,684.45,359.08,0.8487
7,8,bus,772.55,221.66,920.76,304.44,0.5969
7,9,bus,699.93,208.2,747.12,254.59,0.6383
7,11,bus,497.21,204.7,543.38,256.2,0.6056
7,12,bus,647.82,186.67,709.5,231.71,0.6636
7,13,bus,448.97,195.55,499.92,255.92,0.3268
7,14,bike,70.55,334.1,104.05,371.15,0.3853
7,15,car,657.69,240.37,687.85,263.79,0.4172
8,1,bus,413.06,214.79,498.72,367.71,0.9138
8,2,bus,873.87,252.94,960.0,343.4,0.8733
8,3,car,610.71,425.02,729.69,539.93,0.8989
8,4,car,733.11,265.6,779.94,296.78,0.8557
8,5,car,527.98,279.26,578.1,329.69,0.849
8,6,car,555.79,232.6,589.64,258.25,0.8132
8,7,car,615.29,302.26,687.68,362.39,0.8545
8,8,bus,773.3,221.29,922.93,304.51,0.667
8,9,bus,700.45,208.82,746.63,254.17,0.4797
8,11,bus,495.17,202.7,543.52,256.5,0.6394
8,12,bus,648.16,186.79,709.57,231.53,0.6059
8,13,bus,448.76,195.63,499.24,255.86,0.3281
8,15,car,657.94,240.65,687.03,263.37,0.3682
9,1,bus,413.35,215.25,498.89,367.9,0.9009
9,2,bus,873.98,252.52,960.0,342.98,0.8634
9,3,car,616.3,430.55,732.33,540.0,0.892
9,4,car,731.48,264.07,778.88,295.74,0.8475
9,5,car,528.53,280.02,578.79,330.65,0.8466
9,6,car,556.76,232.96,591.19,259.11,0.8249
9,7,car,617.62,304.72,690.09,364.92,0.8591
9,8,bus,772.27,220.64,922.94,304.26,0.7212
9,9,bus,700.4,208.55,746.47,253.79,0.6369
9,11,bus,499.17,205.89,544.66,256.72,0.6433
9,12,bus,648.09,186.72,709.06,231.0,0.6269
9,13,bus,448.91,195.5,499.47,256.13,0.3447
9,15,car,657.86,240.24,685.96,262.2,0.3251
9,17,truck,0.0,392.1,306.62,536.66,0.2178
10,1,bus,413.18,215.27,498.8,368.09,0.9137
10,2,bus,874.08,252.31,960.0,342.9,0.8746
10,3,car,621.03,436.33,734.28,540.0,0.8837
10,4,car,729.72,263.13,777.4,295.08,0.8588
10,5,car,528.39,280.49,579.84,332.25,0.8575
10,6,car,557.94,233.81,592.5,260.08,0.8313
10,7,car,619.06,306.64,693.15,368.23,0.8661
10,8,bus,771.21,219.74,923.25,304.02,0.6698
10,9,bus,699.5,207.91,746.34,254.01,0.6519
10,11,bus,500.68,206.83,545.33,256.9,0.663
10,12,bus,648.13,187.5,707.4,230.33,0.5304
10,13,bus,449.61,195.37,499.9,255.8,0.2983
10,15,car,657.83,240.28,685.26,261.76,0.2897
10,17,truck,0.0,391.15,307.18,536.78,0.2382
10,14,bike,61.97,342.77,93.79,377.51,0.3995
11,1,bus,413.0,215.29,499.02,368.95,0.9106
11,2,bus,874.3,252.74,960.0,343.11,0.8809
11,3,car,625.61,442.07,735.3,540.0,0.8666
11,4,car,727.85,262.57,775.74,294.75,0.8544
11,5,car,528.35,281.57,580.82,334.38,0.8566
11,6,car,558.9,234.68,593.83,261.24,0.7645
11,7,car,620.28,308.25,696.7,371.95,0.8364
11,8,bus,770.06,219.25,924.2,304.62,0.729
11,9,bus,699.59,208.14,746.02,253.92,0.5972
11,11,bus,496.33,203.92,544.35,257.53,0.7125
11,12,bus,646.8,187.45,706.64,230.52,0.5104
11,13,bus,449.92,195.4,500.37,256.02,0.2837
11,15,car,657.69,240.36,685.11,262.01,0.3407
12,1,bus,412.63,215.33,498.97,369.73,0.913
12,2,bus,874.15,252.58,960.0,343.16,0.8782
