vehicle_id,class,class_agreement,n_frames,first_frame,last_frame,duration_sec,mean_confidence,max_confidence
1,bus,0.996,231,0,230,9.24,0.9019,0.9583
2,bus,1.0,380,0,379,15.2,0.8637,0.9457
3,car,1.0,21,0,20,0.84,0.7865,0.8989
4,car,1.0,95,0,104,3.8,0.7179,0.8588
5,car,1.0,83,0,82,3.32,0.8614,0.91
6,car,1.0,107,0,106,4.28,0.7838,0.8838
7,car,1.0,52,0,51,2.08,0.8036,0.891
8,bus,1.0,264,0,312,10.56,0.7272,0.8639
9,bus,1.0,274,0,283,10.96,0.5446,0.7976
10,car,1.0,6,0,5,0.24,0.6494,0.7508
11,bus,0.945,310,0,310,12.4,0.7913,0.935
12,bus,1.0,57,0,58,2.28,0.4718,0.7254
13,bus,1.0,377,0,379,15.08,0.7391,0.9435
14,bike,1.0,9,0,10,0.36,0.4305,0.509
15,car,1.0,134,0,184,5.36,0.3734,0.6348
16,car,1.0,4,0,4,0.16,0.3066,0.3518
17,truck,1.0,24,0,70,0.96,0.2675,0.4305
18,bike,1.0,1,0,0,0.04,0.1953,0.1953
19,bus,1.0,1,0,0,0.04,0.1839,0.1839
20,car,1.0,1,0,0,0.04,0.1817,0.1817
21,car,1.0,1,0,0,0.04,0.1289,0.1289
22,truck,1.0,1,0,0,0.04,0.1141,0.1141
23,car,1.0,1,0,0,0.04,0.1115,0.1115
24,car,1.0,1,0,0,0.04,0.103,0.103
155,car,1.0,60,33,94,2.4,0.3486,0.4685
169,car,1.0,1,37,37,0.04,0.3198,0.3198
229,car,0.96,125,51,175,5.0,0.6616,0.8721
262,bus,1.0,4,62,65,0.16,0.3586,0.4175
274,car,1.0,110,65,174,4.4,0.7278,0.8887
340,bike,1.0,1,77,77,0.04,0.3982,0.3982
355,car,1.0,73,79,186,2.92,0.3434,0.5086
377,bus,1.0,10,82,103,0.4,0.3322,0.399
381,car,1.0,136,83,222,5.44,0.6253,0.9015
418,car,1.0,4,90,93,0.16,0.2969,0.3698
511,car,1.0,1,100,100,0.04,0.3436,0.3436
546,car,0.992,128,103,231,5.12,0.7149,0.8917
557,truck,1.0,1,104,104,0.04,0.3337,0.3337
639,car,1.0,109,110,220,4.36,0.7458,0.9112
646,bike,1.0,1,110,110,0.04,0.4615,0.4615
731,bike,1.0,9,117,131,0.36,0.4406,0.5421
737,car,1.0,9,118,132,0.36,0.3481,0.4208
798,bike,1.0,2,125,126,0.08,0.4628,0.4896
962,truck,0.972,145,143,379,5.8,0.341,0.5855
1002,bus,1.0,7,147,156,0.28,0.2827,0.3326
1049,car,1.0,33,152,184,1.32,0.4882,0.569
1084,bus,1.0,2,156,160,0.08,0.2989,0.3644
1135,car,1.0,22,161,199,0.88,0.291,0.3829
1155,car,1.0,65,164,236,2.6,0.2946,0.3982
1194,bike,1.0,13,168,185,0.52,0.4586,0.6518
1227,car,1.0,197,172,379,7.88,0.6058,0.8319
1276,car,1.0,92,177,272,3.68,0.7541,0.8959
1300,car,1.0,132,179,346,5.28,0.5689,0.779
1301,car,1.0,40,179,233,1.6,0.2811,0.3607
1362,car,1.0,124,186,315,4.96,0.7396,0.9102
1401,bus,1.0,3,190,198,0.12,0.3549,0.3867
1500,bike,1.0,11,202,214,0.44,0.3643,0.4316
1548,truck,0.667,3,208,210,0.12,0.4615,0.4698
1555,car,1.0,121,209,334,4.84,0.7271,0.8993
1597,bus,1.0,134,216,378,5.36,0.5982,0.8637
1613,car,1.0,8,219,227,0.32,0.3678,0.4094
1675,truck,0.833,6,228,233,0.24,0.5159,0.586
1676,bike,1.0,2,228,229,0.08,0.4275,0.4399
1703,bus,1.0,12,231,245,0.48,0.3299,0.4744
1750,bike,1.0,38,236,292,1.52,0.4044,0.6275
1836,car,1.0,5,249,253,0.2,0.3377,0.3754
1858,car,1.0,3,252,254,0.12,0.3862,0.4549
1924,bus,1.0,104,264,379,4.16,0.5159,0.7591
2110,bus,0.833,6,292,297,0.24,0.7934,0.8499
2209,car,1.0,37,305,344,1.48,0.3118,0.3837
2238,car,1.0,70,310,379,2.8,0.3755,0.4856
2289,truck,1.0,1,316,316,0.04,0.4528,0.4528
2302,bus,1.0,7,317,325,0.28,0.2979,0.3643
2322,bus,1.0,61,319,379,2.44,0.8189,0.8939
2422,bus,1.0,14,332,348,0.56,0.3723,0.5622
2437,bus,1.0,32,334,372,1.28,0.4396,0.6078
2485,bus,1.0,17,340,358,0.68,0.4227,0.6228
2665,bus,1.0,4,359,362,0.16,0.4559,0.5146
2689,car,1.0,16,364,379,0.64,0.3493,0.4411
