vehicle_id,class,class_agreement,n_frames,first_frame,last_frame,duration_sec,mean_confidence,max_confidence
1,car,1.0,950,0,949,38.0,0.9131,0.9509
2,car,1.0,111,0,110,4.44,0.8456,0.922
3,car,0.673,104,0,158,4.16,0.6971,0.9377
4,bike,1.0,39,0,45,1.56,0.5643,0.8423
5,bike,1.0,86,0,90,3.44,0.5689,0.7889
6,bike,1.0,28,0,27,1.12,0.6069,0.7406
7,bike,1.0,20,0,26,0.8,0.522,0.7253
8,bike,1.0,207,0,239,8.28,0.6326,0.8683
9,car,1.0,43,0,51,1.72,0.5539,0.7282
10,car,1.0,1,0,0,0.04,0.4806,0.4806
11,bus,1.0,24,0,44,0.96,0.4578,0.6834
12,truck,1.0,1,0,0,0.04,0.4631,0.4631
13,bike,1.0,5,0,8,0.2,0.3321,0.4624
14,bike,1.0,22,0,23,0.88,0.513,0.6858
15,car,1.0,292,0,344,11.68,0.4769,0.7598
16,car,0.955,132,0,135,5.28,0.7168,0.9061
17,bike,1.0,1,0,0,0.04,0.1719,0.1719
18,rickshaw,1.0,1,0,0,0.04,0.1644,0.1644
19,rickshaw,1.0,1,0,0,0.04,0.1511,0.1511
35,bus,0.636,22,5,32,0.88,0.3727,0.5868
74,car,0.923,39,9,52,1.56,0.455,0.6618
85,rickshaw,0.9,10,10,19,0.4,0.7716,0.9343
107,bus,1.0,14,12,28,0.56,0.3991,0.6333
116,car,0.8,10,13,23,0.4,0.3813,0.444
170,car,0.999,931,19,949,37.24,0.8972,0.9437
189,car,1.0,135,21,156,5.4,0.5183,0.6741
239,rickshaw,1.0,3,28,30,0.12,0.3325,0.3592
247,bike,1.0,41,31,81,1.64,0.5449,0.823
260,car,1.0,10,33,42,0.4,0.4102,0.4875
269,bus,1.0,2,36,37,0.08,0.3367,0.3491
303,rickshaw,1.0,21,41,61,0.84,0.3635,0.5261
307,bike,1.0,153,42,221,6.12,0.6535,0.8297
354,truck,1.0,1,50,50,0.04,0.4039,0.4039
385,bike,1.0,71,54,129,2.84,0.6716,0.8519
399,bike,1.0,5,56,60,0.2,0.3793,0.4025
406,car,0.689,183,57,310,7.32,0.4719,0.7538
439,bike,1.0,4,63,67,0.16,0.4308,0.5372
468,bike,1.0,4,70,73,0.16,0.4182,0.471
479,car,1.0,1,73,73,0.04,0.3126,0.3126
486,bike,1.0,55,75,167,2.2,0.5418,0.7373
509,rickshaw,1.0,4,79,82,0.16,0.4042,0.4595
531,rickshaw,1.0,4,82,85,0.16,0.3708,0.5223
536,car,0.828,58,83,140,2.32,0.6856,0.8706
539,bus,1.0,2,84,85,0.08,0.2831,0.3361
541,bike,1.0,5,85,103,0.2,0.4119,0.4905
583,car,1.0,3,91,95,0.12,0.346,0.361
603,bus,1.0,4,94,97,0.16,0.3703,0.5601
655,car,1.0,308,99,406,12.32,0.8412,0.949
695,bus,1.0,14,104,121,0.56,0.4888,0.6968
703,car,1.0,4,106,110,0.16,0.396,0.5401
715,bike,1.0,2,110,111,0.08,0.341,0.3824
726,bus,1.0,3,113,115,0.12,0.3378,0.3915
745,car,1.0,98,116,230,3.92,0.435,0.671
771,bike,1.0,9,120,153,0.36,0.3405,0.4896
779,bike,1.0,8,121,134,0.32,0.4561,0.6359
786,bike,1.0,11,122,139,0.44,0.3897,0.6013
792,bike,1.0,93,123,284,3.72,0.4761,0.7776
839,bike,1.0,153,129,306,6.12,0.5724,0.8293
841,car,1.0,66,129,210,2.64,0.3305,0.5143
895,car,1.0,27,136,163,1.08,0.5437,0.7465
909,car,1.0,124,138,261,4.96,0.8679,0.9226
929,car,1.0,9,140,152,0.36,0.2975,0.3689
988,bike,1.0,1,144,144,0.04,0.4065,0.4065
1000,bike,1.0,3,145,147,0.12,0.5473,0.6369
1036,bike,0.83,47,148,206,1.88,0.6574,0.8457
1101,bike,1.0,21,154,209,0.84,0.3581,0.5759
1133,bike,1.0,38,158,206,1.52,0.5969,0.8238
1156,bike,1.0,52,160,229,2.08,0.4687,0.7259
1190,bike,1.0,2,163,164,0.08,0.4569,0.4771
1191,bike,1.0,13,163,187,0.52,0.506,0.7709
1220,bike,1.0,15,167,182,0.6,0.4864,0.6757
1223,bus,1.0,2,167,169,0.08,0.3136,0.3649
1258,bus,1.0,10,171,180,0.4,0.3518,0.4609
1277,car,0.714,7,174,187,0.28,0.5063,0.5976
1278,bike,1.0,2,174,176,0.08,0.3523,0.4451
1304,bike,1.0,3,178,183,0.12,0.3039,0.3978
1307,bike,1.0,81,178,273,3.24,0.6471,0.8313
1332,bike,0.99,100,181,331,4.0,0.4063,0.788
1378,car,1.0,763,187,949,30.52,0.9264,0.9425
1391,bike,1.0,3,188,190,0.12,0.3383,0.43
1402,bus,0.992,753,189,949,30.12,0.8216,0.9067
1431,rickshaw,1.0,3,195,198,0.12,0.5599,0.6274
1480,car,0.611,18,201,218,0.72,0.425,0.6672
1499,bike,1.0,49,202,289,1.96,0.3755,0.6916
1538,bike,0.965,142,206,359,5.68,0.7091,0.8726
1580,car,0.636,22,212,233,0.88,0.4205,0.5824
