frame_id,vehicle_id,class,x1,y1,x2,y2,confidence
3,-1,car,247.29,190.33,319.72,239.84,0.1702
3,-1,car,150.99,176.51,183.99,191.53,0.1076
4,-1,car,271.61,185.46,305.42,208.9,0.142
5,-1,car,268.94,188.62,300.98,201.31,0.133
6,-1,car,262.87,182.72,295.36,198.63,0.2321
8,-1,car,253.39,170.88,282.79,188.05,0.1524
9,-1,car,248.58,163.3,278.32,182.95,0.1714
10,-1,car,214.11,159.89,274.41,183.55,0.1219
12,-1,car,207.55,144.39,266.69,174.27,0.1572
12,-1,car,239.01,150.29,266.44,169.69,0.1488
13,-1,car,216.55,218.21,250.39,239.94,0.2477
13,-1,car,205.07,149.79,263.47,169.16,0.1094
15,-1,car,198.85,137.1,256.31,161.8,0.1526
16,-1,car,166.21,223.62,208.79,239.82,0.1091
17,-1,car,160.33,208.1,204.73,239.25,0.2434
18,-1,car,154.45,201.01,196.06,224.21,0.2788
42,-1,car,137.35,101.93,183.18,126.09,0.1822
42,-1,car,132.6,80.16,255.78,127.08,0.1401
