frame_id,vehicle_id,class,x1,y1,x2,y2,confidence
1,1,car,156.17,189.74,198.59,220.86,0.0646
2,-1,car,260.88,163.21,287.86,176.63,0.0937
2,-1,car,153.45,181.07,198.27,217.56,0.0666
3,-1,car,152.34,181.72,194.41,212.81,0.042
4,-1,car,151.44,178.14,191.74,208.04,0.3444
4,-1,car,196.29,166.0,223.17,185.93,0.1765
5,5,car,153.57,178.28,188.92,204.45,0.5747
6,-1,car,149.43,170.17,190.27,199.8,0.0311
7,5,car,153.23,171.72,186.41,196.11,0.4771
8,-1,car,147.47,167.12,187.0,192.05,0.1178
8,-1,car,191.08,162.79,216.46,174.57,0.0232
9,-1,car,144.04,163.03,184.73,190.47,0.1052
9,-1,car,189.76,154.05,214.95,172.25,0.0833
9,-1,car,0.1,80.96,63.72,132.49,0.0407
10,-1,car,187.34,151.84,211.46,168.43,0.1353
10,-1,car,0.12,106.5,28.5,129.41,0.0305
10,-1,car,144.81,161.47,183.51,187.37,0.0235
11,5,car,144.19,155.3,184.38,184.86,0.4362
12,-1,car,184.42,144.48,208.68,162.77,0.18
12,-1,car,228.1,165.12,255.81,183.73,0.1468
12,-1,car,246.41,146.54,266.55,159.61,0.044
12,-1,car,144.04,154.7,181.33,180.89,0.0412
12,-1,car,294.43,160.66,319.86,175.03,0.0343
12,-1,car,228.08,146.63,267.95,183.6,0.0311
12,-1,car,205.92,134.73,225.21,156.89,0.0216
13,27,car,184.28,144.42,207.15,161.65,0.4757
14,27,car,184.48,142.93,206.63,159.55,0.3855
14,5,car,143.46,149.99,179.72,176.64,0.3644
15,-1,car,222.43,159.21,250.91,176.87,0.2109
15,-1,car,219.19,208.0,254.67,239.13,0.0355
15,-1,car,181.93,145.89,206.62,157.14,0.0338
16,-1,car,215.96,203.06,249.76,233.42,0.2057
16,-1,car,0.13,114.99,23.24,144.03,0.1239
16,-1,car,211.99,205.26,319.17,239.64,0.0389
16,-1,car,201.31,127.68,224.64,146.91,0.0285
16,-1,car,0.08,112.31,23.73,126.81,0.0279
