frame_id,vehicle_id,class,x1,y1,x2,y2,confidence
1,1,rickshaw,189.09,161.61,220.15,189.48,0.8954
1,2,bus,206.92,71.85,226.5,98.41,0.778
1,3,car,192.07,114.13,211.08,129.16,0.7702
1,4,car,228.7,130.94,248.07,145.56,0.7689
1,5,bus,205.2,51.69,220.87,70.13,0.7624
1,6,truck,256.37,115.96,316.2,171.5,0.7384
1,7,car,238.38,104.1,252.68,114.8,0.7307
1,8,bus,224.22,69.87,244.16,95.82,0.7168
1,9,car,154.1,83.87,165.99,94.14,0.6961
1,10,car,149.87,162.57,175.46,189.16,0.6955
1,11,bus,186.38,74.5,207.69,102.44,0.6663
1,12,car,234.97,59.52,245.43,69.99,0.5492
1,13,car,169.58,90.63,182.02,102.65,0.5419
1,14,car,234.46,93.94,248.09,104.38,0.4949
1,15,car,162.65,76.56,173.86,85.38,0.419
1,16,rickshaw,167.25,114.21,184.45,128.33,0.3624
1,17,car,216.56,107.61,230.45,119.54,0.3522
1,18,car,168.16,68.36,177.79,76.52,0.3344
1,19,car,174.12,80.6,185.56,91.21,0.3082
1,20,bus,220.07,54.87,229.53,70.03,0.2776
1,21,rickshaw,221.89,60.21,229.96,70.09,0.2698
1,22,bike,2.41,7.88,18.22,44.74,0.2332
1,23,car,248.83,153.96,274.34,175.65,0.203
1,24,bus,175.64,63.44,185.61,71.78,0.2025
1,25,car,253.26,198.02,283.81,223.03,0.1338
1,26,car,227.6,57.29,235.95,65.07,0.1046
1,27,bus,271.16,45.97,282.21,60.14,0.1035
1,28,rickshaw,276.52,56.47,283.44,63.42,0.1009
2,1,rickshaw,188.66,160.26,218.74,187.24,0.8935
2,2,bus,206.89,71.6,226.66,98.42,0.7723
2,4,car,228.09,129.73,248.12,144.86,0.775
2,5,bus,205.54,51.81,220.97,69.93,0.8454
2,6,truck,255.57,115.96,314.37,170.52,0.6268
2,7,car,238.36,104.1,252.69,114.82,0.729
2,8,bus,224.13,69.79,244.16,95.84,0.749
2,9,car,154.1,83.87,165.99,94.14,0.6954
2,10,car,150.53,162.25,174.33,186.97,0.7525
2,11,bus,186.45,74.36,207.87,102.44,0.682
2,12,car,234.89,59.14,245.69,69.95,0.4716
2,13,car,169.56,90.59,182.03,102.65,0.5209
2,14,car,234.46,93.94,248.09,104.38,0.4811
2,15,car,162.67,76.58,173.87,85.39,0.4128
2,17,car,216.53,107.63,230.38,119.53,0.4576
2,18,car,168.06,68.09,177.97,76.49,0.3523
2,19,car,174.1,80.56,185.59,91.22,0.3023
2,20,rickshaw,220.48,55.5,229.6,70.1,0.283
2,22,bike,2.41,7.77,18.26,44.73,0.2556
3,1,rickshaw,187.46,158.26,217.3,185.0,0.6733
3,2,bus,206.71,71.14,226.2,97.6,0.5661
3,4,car,227.35,128.71,247.05,143.62,0.6081
3,5,bus,206.3,51.34,221.78,69.51,0.845
3,6,truck,255.04,115.86,312.63,169.23,0.6732
3,7,car,237.77,103.26,252.43,114.26,0.7511
3,8,bus,223.68,69.47,243.93,95.83,0.5246
3,9,car,154.65,83.43,166.06,93.27,0.5176
3,10,car,151.15,162.48,173.08,185.16,0.802
3,11,car,185.81,73.78,207.3,102.0,0.5244
3,12,car,234.78,59.05,245.72,70.03,0.4
3,13,car,170.03,90.0,181.98,101.55,0.5468
3,14,car,234.44,93.63,247.47,103.62,0.4791
3,17,car,216.32,106.77,229.71,118.27,0.722
3,19,car,174.46,80.44,185.24,90.42,0.4108
3,20,rickshaw,221.55,55.38,230.6,69.87,0.476
3,22,bike,2.41,7.78,18.25,44.72,0.284
3,3,rickshaw,191.48,112.5,210.22,127.3,0.3016
3,23,car,248.89,154.41,270.58,172.76,0.6091
4,1,rickshaw,185.28,155.38,215.88,182.86,0.7105
4,2,bus,206.72,70.7,226.18,97.14,0.6866
4,4,car,225.99,127.49,246.15,142.79,0.3435
4,5,bus,206.85,51.24,222.42,69.43,0.845
4,6,truck,254.29,115.11,310.79,167.4,0.4777
4,7,car,237.25,102.71,251.92,113.75,0.6429
4,8,bus,223.46,69.16,243.74,95.53,0.7822
4,9,car,155.21,82.84,166.72,92.77,0.711
4,10,car,151.46,161.62,171.54,182.2,0.7515
4,11,bus,186.16,73.22,207.48,101.29,0.4266
4,12,car,235.12,59.65,245.88,70.43,0.4075
4,13,car,170.63,88.65,182.93,100.49,0.394
4,14,car,234.38,93.48,246.91,103.07,0.4027
4,17,car,215.73,105.74,229.08,117.21,0.6342
4,19,car,174.75,79.96,185.6,90.0,0.3082
4,20,rickshaw,221.83,55.32,230.85,69.72,0.6226
4,22,bike,2.93,10.37,17.69,44.65,0.2657
4,38,car,186.45,73.48,206.92,101.37,0.3712
4,3,car,190.76,111.1,209.75,126.12,0.5082
4,23,car,247.01,153.03,268.39,171.02,0.3555
5,1,rickshaw,183.82,152.53,213.73,179.43,0.7666
5,4,car,225.18,126.32,244.74,141.18,0.4542
5,5,bus,207.59,51.18,222.96,69.03,0.8229
5,6,bus,251.94,112.11,310.23,166.15,0.5457
5,7,car,236.98,102.29,251.36,113.16,0.7162
5,8,bus,223.48,68.96,243.56,95.12,0.5054
5,9,car,156.07,82.06,167.71,92.12,0.6809
5,10,car,150.93,158.77,171.05,179.25,0.7011
5,12,car,235.52,59.84,245.98,70.33,0.3686
5,13,car,170.8,88.33,182.4,99.46,0.5861
5,14,car,233.73,92.68,246.56,102.55,0.5625
5,17,car,215.16,104.29,228.9,116.12,0.5177
5,19,car,175.31,79.48,185.61,88.97,0.4736
5,20,rickshaw,222.24,54.99,231.13,69.11,0.4683
5,22,bike,2.92,10.51,17.66,44.59,0.2355
5,3,car,190.82,110.26,208.87,124.5,0.7962
5,23,car,245.5,151.01,266.8,168.84,0.7076
6,1,rickshaw,182.69,149.68,211.41,175.55,0.5818
6,5,bus,207.9,51.14,223.33,68.94,0.8743
6,6,truck,251.2,111.56,307.97,164.17,0.4049
6,7,car,236.4,101.78,250.79,112.73,0.618
6,8,bus,223.36,68.6,243.32,94.65,0.4013
6,9,car,156.62,81.72,167.89,91.44,0.5985
6,10,car,150.1,156.54,170.0,176.63,0.5654
6,13,car,171.22,87.81,182.22,98.33,0.4107
6,14,car,233.5,92.17,246.57,102.24,0.3647
6,17,car,214.71,103.58,228.13,115.13,0.6399
6,19,car,175.26,78.39,185.92,88.2,0.2957
6,20,rickshaw,222.59,54.87,231.58,69.08,0.4202
6,22,bike,2.94,11.08,17.49,44.59,0.321
6,3,car,190.6,109.14,208.31,123.11,0.5761
6,23,car,243.7,149.36,264.69,166.81,0.3987
6,11,bus,185.35,73.21,205.18,99.2,0.3062
7,1,rickshaw,181.92,146.75,209.6,171.68,0.7064
7,5,bus,208.13,50.92,223.58,68.65,0.758
7,6,truck,250.25,111.21,305.69,162.53,0.6055
7,7,car,236.24,101.31,250.04,111.85,0.671
7,9,car,157.0,81.03,168.22,90.69,0.2347
7,10,car,149.85,153.82,169.55,173.56,0.5548
7,13,car,171.24,86.69,182.62,97.51,0.4489
7,14,car,232.93,91.28,246.49,101.76,0.4056
7,17,car,214.17,102.69,227.54,114.19,0.7315
7,19,car,175.79,78.25,185.56,87.19,0.2501
7,22,bike,2.57,9.06,18.04,44.64,0.3074
7,3,car,190.3,107.76,207.93,121.69,0.3105
7,23,car,241.9,147.56,262.99,164.99,0.3365
7,72,car,298.98,196.47,315.52,222.72,0.6853
7,11,car,185.84,72.94,205.06,98.19,0.4757
8,1,rickshaw,181.31,144.24,207.61,167.89,0.7867
