vehicle_id,class,class_agreement,n_frames,first_frame,last_frame,duration_sec,mean_confidence,max_confidence
1,rickshaw,0.939,33,1,41,3.3,0.6033,0.8954
2,bus,1.0,18,1,52,1.8,0.5849,0.8656
3,rickshaw,0.63,46,1,52,4.6,0.4521,0.7962
4,car,0.979,47,1,52,4.7,0.5848,0.8709
5,bus,1.0,35,1,52,3.5,0.5299,0.8743
6,truck,0.979,48,1,50,4.8,0.5709,0.8461
7,car,1.0,31,1,31,3.1,0.5456,0.7511
8,bus,0.778,9,1,12,0.9,0.5274,0.7822
9,car,1.0,23,1,30,2.3,0.4541,0.711
10,car,1.0,27,1,27,2.7,0.5655,0.802
11,bus,0.829,35,1,52,3.5,0.459,0.7876
12,car,1.0,5,1,5,0.5,0.4394,0.5492
13,car,1.0,25,1,30,2.5,0.4836,0.6685
14,car,1.0,19,1,30,1.9,0.3866,0.5625
15,car,1.0,2,1,2,0.2,0.4159,0.419
16,rickshaw,1.0,1,1,1,0.1,0.3624,0.3624
17,car,1.0,39,1,43,3.9,0.4902,0.7315
18,car,1.0,2,1,2,0.2,0.3433,0.3523
19,car,1.0,12,1,14,1.2,0.3409,0.4736
20,rickshaw,0.714,7,1,8,0.7,0.3991,0.6226
21,rickshaw,1.0,1,1,1,0.1,0.2698,0.2698
22,bike,1.0,27,1,52,2.7,0.3099,0.4388
23,car,1.0,39,1,52,3.9,0.4707,0.7402
24,car,0.5,2,1,13,0.2,0.2383,0.274
25,car,1.0,40,1,52,4.0,0.5833,0.8192
26,car,1.0,1,1,1,0.1,0.1046,0.1046
27,bus,1.0,1,1,1,0.1,0.1035,0.1035
28,rickshaw,1.0,1,1,1,0.1,0.1009,0.1009
38,car,1.0,1,4,4,0.1,0.3712,0.3712
72,car,1.0,46,7,52,4.6,0.8309,0.9076
94,car,0.865,37,9,50,3.7,0.6526,0.8863
98,car,1.0,44,9,52,4.4,0.8465,0.9476
112,car,1.0,2,11,12,0.2,0.664,0.681
141,car,0.556,18,14,41,1.8,0.4813,0.7806
200,car,1.0,13,22,52,1.3,0.4353,0.6625
206,car,1.0,5,23,27,0.5,0.5877,0.7991
212,car,1.0,2,24,25,0.2,0.5497,0.6624
228,car,1.0,26,27,52,2.6,0.7713,0.8956
241,rickshaw,0.667,6,28,33,0.6,0.6833,0.8361
244,rickshaw,0.909,11,29,47,1.1,0.3869,0.6658
258,rickshaw,0.636,22,30,52,2.2,0.5782,0.8699
283,car,0.75,20,33,52,2.0,0.7317,0.8966
299,rickshaw,0.909,11,34,52,1.1,0.4273,0.5943
371,rickshaw,1.0,4,41,45,0.4,0.3166,0.3694
377,car,0.75,8,42,52,0.8,0.5243,0.7365
406,car,1.0,8,45,52,0.8,0.7141,0.8819
411,bus,1.0,8,45,52,0.8,0.3941,0.5387
419,car,1.0,7,46,52,0.7,0.7545,0.8806
420,car,1.0,7,46,52,0.7,0.5656,0.7732
422,car,1.0,1,46,46,0.1,0.4339,0.4339
437,car,1.0,4,47,51,0.4,0.325,0.4031
