video,is_control,frames,A_dets_per_frame,B_dets_per_frame,ratio_B_over_A,A_mean_conf,B_mean_conf,A_empty_pct,B_empty_pct,B_rickshaw,B_rickshaw_pct
Screen Recording 2026-08-17 215744.mp4,True,413,19.567,27.305,1.4,0.5609,0.6805,0.0,0.0,523,4.64
Screen Recording 2026-08-18 154903.mp4,False,332,6.37,7.72,1.21,0.6448,0.6635,0.0,0.0,0,0.0
Screen Recording 2026-08-18 154942.mp4,False,417,10.029,10.405,1.04,0.6959,0.7531,0.0,0.0,114,2.63
Screen Recording 2026-08-18 155112.mp4,False,540,12.73,13.235,1.04,0.5867,0.6724,0.0,0.0,79,1.11
Screen Recording 2026-08-18 155146.mp4,False,417,15.508,17.326,1.12,0.6003,0.6923,0.0,0.0,29,0.4
Screen Recording 2026-08-18 155221.mp4,False,410,13.315,14.263,1.07,0.5809,0.7125,0.0,0.0,7,0.12
Screen Recording 2026-08-18 155302.mp4,False,429,14.142,15.485,1.09,0.5935,0.6982,0.0,0.0,42,0.63
Screen Recording 2026-08-18 155346.mp4,False,427,8.82,8.78,1.0,0.5894,0.6621,0.0,0.0,56,1.49
Screen Recording 2026-08-18 155441.mp4,False,425,14.704,15.252,1.04,0.6015,0.6984,0.0,0.0,24,0.37
Screen Recording 2026-08-18 215512.mp4,False,405,14.635,15.694,1.07,0.6024,0.7072,0.0,0.0,31,0.49
Screen Recording 2026-08-18 215700.mp4,False,546,13.383,13.725,1.03,0.5923,0.6785,0.0,0.0,39,0.52
Screen Recording 2026-08-18 220034.mp4,False,471,2.244,2.276,1.01,0.7108,0.7542,23.57,21.87,72,6.72
Screen Recording 2026-08-18 220146.mp4,False,507,2.15,2.039,0.95,0.6013,0.6874,0.0,0.0,1,0.1
Screen Recording 2026-08-18 220359.mp4,False,591,3.173,3.188,1.0,0.7036,0.7627,0.51,0.0,19,1.01
Screen Recording 2026-08-18 220450.mp4,False,416,7.954,9.248,1.16,0.5937,0.6321,0.0,0.0,56,1.46
Screen Recording 2026-08-18 220610.mp4,False,456,7.138,6.452,0.9,0.5763,0.6424,0.0,0.0,98,3.33
Screen Recording 2026-08-18 220759.mp4,False,615,9.4,9.525,1.01,0.6292,0.6222,0.0,0.0,20,0.34
Screen Recording 2026-08-18 220913.mp4,False,397,8.856,6.431,0.73,0.5721,0.5757,0.0,0.0,47,1.84
Screen Recording 2026-08-18 221051.mp4,False,454,9.291,11.236,1.21,0.6544,0.7391,0.0,0.0,94,1.84
Screen Recording 2026-08-18 221149.mp4,False,395,9.706,11.354,1.17,0.6813,0.7452,0.0,0.0,62,1.38
Screen Recording 2026-08-18 221830.mp4,False,396,6.495,5.879,0.91,0.5769,0.6639,0.0,0.0,32,1.37
Screen Recording 2026-08-18 221929.mp4,False,484,8.122,8.324,1.02,0.6172,0.6276,0.0,0.0,4,0.1
Screen Recording 2026-08-18 222018.mp4,False,457,2.775,3.468,1.25,0.6976,0.7195,9.19,9.19,0,0.0
Screen Recording 2026-08-18 222121.mp4,False,845,2.715,3.29,1.21,0.648,0.6937,3.31,1.89,22,0.79
Screen Recording 2026-08-18 222200.mp4,False,434,2.18,2.447,1.12,0.6433,0.6956,7.83,6.45,106,9.98
Screen Recording 2026-08-18 222441.mp4,False,519,1.474,2.075,1.41,0.5923,0.7276,9.44,7.9,7,0.65
Screen Recording 2026-08-18 222522.mp4,False,437,2.256,2.476,1.1,0.6407,0.7253,5.49,0.0,7,0.65
Screen Recording 2026-08-18 222618.mp4,False,349,2.602,2.926,1.12,0.6548,0.7222,1.72,0.0,5,0.49
Screen Recording 2026-08-18 223410.mp4,False,434,2.023,2.035,1.01,0.6273,0.7273,21.66,9.91,0,0.0
Screen Recording 2026-08-18 223454.mp4,False,431,3.039,3.566,1.17,0.6409,0.7138,7.19,0.0,12,0.78
Screen Recording 2026-08-18 223641.mp4,False,433,12.139,12.956,1.07,0.5974,0.6775,0.0,0.0,78,1.39
Screen Recording 2026-08-18 223723.mp4,False,445,12.816,13.254,1.03,0.5837,0.7089,0.0,0.0,4,0.07
Screen Recording 2026-08-18 223802.mp4,False,423,12.314,12.574,1.02,0.5779,0.6911,0.0,0.0,78,1.47
Screen Recording 2026-08-18 224131.mp4,False,423,8.076,8.832,1.09,0.6139,0.6112,0.0,0.0,7,0.19
Screen Recording 2026-08-18 224217.mp4,False,498,5.882,6.47,1.1,0.593,0.6029,4.02,4.02,89,2.76
Screen Recording 2026-08-18 224316.mp4,False,487,10.376,11.864,1.14,0.6616,0.7422,0.0,0.0,78,1.35
Screen Recording 2026-08-18 224410.mp4,False,522,17.544,21.946,1.25,0.6098,0.7123,0.0,0.0,168,1.47
Screen Recording 2026-08-18 224607.mp4,False,466,6.957,8.384,1.21,0.6491,0.6463,0.0,0.0,2,0.05
Screen Recording 2026-08-18 225058.mp4,False,559,11.292,12.086,1.07,0.6803,0.7121,0.0,0.0,103,1.52
