[22:47:49] found 254 clips in data\video
[22:47:49] already complete: 0   to process now: 254
[22:47:49] model=yolo11m.pt imgsz=640 conf=0.1 device=cpu start_frame=1
[22:47:49] tracker cfg: _tracker_bytetrack_conf0.1.yaml
[22:48:10] [1/254] cctv052x2004080516x01638  dets= 631   12.1/fr  tracks= 41   20.6s  ETA 1:26:58
[22:48:34] [2/254] cctv052x2004080516x01639  dets= 608   11.7/fr  tracks= 37   23.8s  ETA 1:33:16
[22:49:00] [3/254] cctv052x2004080516x01640  dets= 433    9.2/fr  tracks= 42   26.7s  ETA 1:39:12
[22:49:30] [4/254] cctv052x2004080516x01641  dets= 666   13.1/fr  tracks= 30   30.1s  ETA 1:45:28
[22:50:00] [5/254] cctv052x2004080516x01642  dets= 456    9.1/fr  tracks= 34   29.8s  ETA 1:48:46
[22:50:32] [6/254] cctv052x2004080516x01643  dets= 383    7.4/fr  tracks= 36   31.7s  ETA 1:52:06
[22:51:07] [7/254] cctv052x2004080516x01644  dets= 286    5.5/fr  tracks= 29   35.5s  ETA 1:56:33
[22:51:41] [8/254] cctv052x2004080516x01645  dets= 522   10.2/fr  tracks= 33   33.6s  ETA 1:58:48
[22:52:10] [9/254] cctv052x2004080516x01646  dets= 506   10.5/fr  tracks= 22   28.7s  ETA 1:58:12
[22:52:43] [10/254] cctv052x2004080516x01647  dets= 726   14.2/fr  tracks= 32   33.7s  ETA 1:59:38
[22:53:27] [11/254] cctv052x2004080516x01648  dets= 555   10.7/fr  tracks= 34   44.0s  ETA 2:04:30
[22:54:09] [12/254] cctv052x2004080516x01649  dets= 578   11.1/fr  tracks= 30   42.0s  ETA 2:07:46
[22:54:47] [13/254] cctv052x2004080516x01650  dets= 734   14.1/fr  tracks= 37   37.1s  ETA 2:08:55
[22:55:24] [14/254] cctv052x2004080517x01652  dets= 604   11.6/fr  tracks= 36   37.6s  ETA 2:09:58
[22:55:56] [15/254] cctv052x2004080517x01653  dets= 666   12.8/fr  tracks= 34   31.7s  ETA 2:09:13
[22:56:26] [16/254] cctv052x2004080517x01654  dets= 609   11.7/fr  tracks= 27   29.9s  ETA 2:08:03
[22:56:58] [17/254] cctv052x2004080517x01655  dets= 699   13.4/fr  tracks= 28   31.9s  ETA 2:07:25
[22:57:27] [18/254] cctv052x2004080517x01656  dets= 668   12.8/fr  tracks= 22   29.9s  ETA 2:06:21
[22:57:58] [19/254] cctv052x2004080517x01657  dets= 688   13.2/fr  tracks= 33   30.2s  ETA 2:05:25
[22:58:27] [20/254] cctv052x2004080517x01658  dets= 753   14.5/fr  tracks= 26   29.3s  ETA 2:04:21
[22:58:56] [21/254] cctv052x2004080517x01659  dets= 764   14.7/fr  tracks= 32   29.1s  ETA 2:03:18
[22:59:25] [22/254] cctv052x2004080517x01660  dets= 656   12.6/fr  tracks= 31   29.4s  ETA 2:02:21
[22:59:56] [23/254] cctv052x2004080517x01661  dets= 590   11.3/fr  tracks= 31   30.7s  ETA 2:01:41
[23:00:30] [24/254] cctv052x2004080517x01662  dets= 709   13.6/fr  tracks= 32   33.9s  ETA 2:01:31
[23:09:23] [25/254] cctv052x2004080517x01663  dets= 651   12.5/fr  tracks= 32  532.4s  ETA 3:17:26
[23:09:44] [26/254] cctv052x2004080517x01664  dets= 611   12.0/fr  tracks= 32   21.0s  ETA 3:12:05
[23:10:07] [27/254] cctv052x2004080517x01665  dets= 605   11.6/fr  tracks= 33   23.5s  ETA 3:07:27
[23:10:30] [28/254] cctv052x2004080518x01666  dets= 688   13.8/fr  tracks= 34   23.3s  ETA 3:03:05
[23:10:54] [29/254] cctv052x2004080518x01667  dets= 600   12.0/fr  tracks= 33   23.4s  ETA 2:59:01
[23:11:19] [30/254] cctv052x2004080518x01668  dets= 718   13.8/fr  tracks= 27   24.9s  ETA 2:55:22
[23:11:45] [31/254] cctv052x2004080518x01669  dets= 616   11.8/fr  tracks= 38   26.3s  ETA 2:52:06
[23:12:11] [32/254] cctv052x2004080518x01670  dets= 468    9.2/fr  tracks= 38   26.0s  ETA 2:48:59
[23:12:41] [33/254] cctv052x2004080518x01671  dets= 651   12.5/fr  tracks= 39   29.9s  ETA 2:46:27
[23:13:12] [34/254] cctv052x2004080518x01672  dets= 487    9.4/fr  tracks= 34   31.6s  ETA 2:44:15
[23:13:48] [35/254] cctv052x2004080518x01673  dets= 221    4.3/fr  tracks= 18   35.7s  ETA 2:42:33
[23:14:20] [36/254] cctv052x2004080518x01674  dets= 498    9.6/fr  tracks= 32   32.4s  ETA 2:40:35
[23:14:52] [37/254] cctv052x2004080518x01675  dets= 142    2.7/fr  tracks= 24   31.8s  ETA 2:38:38
[23:15:25] [38/254] cctv052x2004080518x01676  dets= 207    4.0/fr  tracks= 32   32.7s  ETA 2:36:50
[23:15:57] [39/254] cctv052x2004080518x01677  dets= 186    3.6/fr  tracks= 29   31.8s  ETA 2:35:02
[23:16:29] [40/254] cctv052x2004080519x01678  dets= 291    5.6/fr  tracks= 38   32.0s  ETA 2:33:19
[23:17:02] [41/254] cctv052x2004080519x01679  dets= 250    4.8/fr  tracks= 32   33.1s  ETA 2:31:44
[23:17:36] [42/254] cctv052x2004080519x01680  dets= 296    5.7/fr  tracks= 27   34.2s  ETA 2:30:18
[23:18:10] [43/254] cctv052x2004080519x01681  dets= 176    3.4/fr  tracks= 33   33.7s  ETA 2:28:52
[23:18:44] [44/254] cctv052x2004080519x01682  dets= 148    2.9/fr  tracks= 32   34.3s  ETA 2:27:32
[23:19:17] [45/254] cctv052x2004080519x01683  dets= 213    4.2/fr  tracks= 18   32.9s  ETA 2:26:07
[23:19:49] [46/254] cctv052x2004080519x01684  dets= 120    2.3/fr  tracks= 22   32.3s  ETA 2:24:41
[23:20:20] [47/254] cctv052x2004080519x01685  dets= 170    3.3/fr  tracks= 16   30.3s  ETA 2:23:09
[23:20:49] [48/254] cctv052x2004080519x01686  dets= 118    2.5/fr  tracks= 12   29.4s  ETA 2:21:36
[23:21:21] [49/254] cctv052x2004080519x01687  dets= 214    4.2/fr  tracks= 21   32.2s  ETA 2:20:17
[23:21:52] [50/254] cctv052x2004080519x01688  dets= 126    2.4/fr  tracks= 14   31.2s  ETA 2:18:56
[23:22:23] [51/254] cctv052x2004080519x01689  dets= 161    3.2/fr  tracks= 19   30.8s  ETA 2:17:35
[23:22:54] [52/254] cctv052x2004080519x01690  dets= 136    2.7/fr  tracks= 27   30.6s  ETA 2:16:15
[23:23:25] [53/254] cctv052x2004080519x01691  dets= 155    3.0/fr  tracks= 26   31.2s  ETA 2:14:59
[23:23:58] [54/254] cctv052x2004080519x01692  dets= 123    2.5/fr  tracks= 24   32.9s  ETA 2:13:52
